stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5720AWA10007,,"Ewbank Close",,51.418715695,-3.245561737,,,0,,,0
5720AWA10008,,"Ewbank Close",,51.418752693,-3.246310574,,,0,,,0
5710AWA10674,,"Ewenny Road",,51.525200316,-3.181090944,,,0,,,0
5710WDB48583,,"Excalibur Drive",,51.539459825,-3.188366986,,,0,,,0
5710AWA11368,,"Fairwater RFC",,51.494980069,-3.245278114,,,0,,,0
5710AWA11369,,"Fairwater RFC",,51.495768817,-3.245500571,,,0,,,0
5710AWA11348,,"Fairways Crescent (W)",,51.489007659,-3.249651717,,,0,,,0
5710AWA11444,,"Fern Street",,51.485872427,-3.213415844,,,0,,,0
5710AWA11608,,"Ferry Road",,51.461619672,-3.185436686,,,0,,,0
5710AWA11596,,"Ferry Road",,51.463016662,-3.186005514,,,0,,,0
5710AWA11183,,"Fford Y Berllan",,51.525748927,-3.265562733,,,0,,,0
5710AWA11200,,"Ffordd Las",,51.517404801,-3.263025399,,,0,,,0
5710AWA11201,,"Ffordd Las",,51.517242227,-3.262257045,,,0,,,0
5710WDB48440,,"Ffordd Mograig",,51.523012425,-3.200853732,,,0,,,0
5710WDB48441,,"Ffordd Mograig",,51.522865938,-3.201109331,,,0,,,0
5710AWA10673,,"Fidlas Avenue",,51.524502472,-3.180741349,,,0,,,0
5710AWA10976,,Fieldway,,51.519621402,-3.194797514,,,0,,,0
5710AWA10975,,Fieldway,,51.519742997,-3.195218677,,,0,,,0
5710AWA11388,,"Firs Ave",,51.490873235,-3.255147468,,,0,,,0
5710AWA10950,,"Fishguard Rd",,51.523841219,-3.187455751,,,0,,,0
5710WDB25312,,"Fishguard Rd Shops",,51.525360181,-3.183963636,,,0,,,0
5710WDB48506,,"Fishguard Road",,51.523503571,-3.183497458,,,0,,,0
5710CBZ02528,,"Fishguard Road",,51.52607105,-3.187470527,,,0,,,0
5710AWA10951,,"Fishguard Road",,51.524048561,-3.187403488,,,0,,,0
5710WDB23554,,"Fishguard Road",,51.523629861,-3.18345749,,,0,,,0
5710CAA02567,,"Fishguard Road Shops",,51.525152404,-3.184059149,,,0,,,0
5710AWA11573,,"Fitzalan High School",,51.475667754,-3.210535409,,,0,,,0
5710CAA02560,,"Fitzhamon Embankment",,51.477290674,-3.184295039,,,0,,,0
5710AWA10607,,"Flaxland Avenue",,51.503777481,-3.193936331,,,0,,,0
5720AWA10743,,"Florence Avenue",,51.420769575,-3.277790128,,,0,,,0
5720AWA10742,,"Florence Avenue",,51.421357384,-3.278309902,,,0,,,0
5710AWA11349,,"Forest View",,51.48896541,-3.251926306,,,0,,,0
5720AWA12339,,"Forrest Road",,51.425013361,-3.180087712,,,0,,,0
5720AWA12012,,"Fort Road",,51.412735922,-3.18398465,,,0,,,0
5720WDB24121,,"Fort Road",,51.412934276,-3.183932257,,,0,,,0
5710AWA10629,,"Fort Street",,51.490094849,-3.151375921,,,0,,,0
5710AWA10622,,"Four Elms Road",,51.486800243,-3.159948905,,,0,,,0
5710AWA11533,,"Foxglove Close",,51.47640101,-3.257212404,,,0,,,0
5710CBX02469,,"Foxglove Close",,51.476528211,-3.256251133,,,0,,,0
5720AWA12401,,"Foxglove Rise",,51.442146623,-3.195709386,,,0,,,0
5720AWA12402,,"Foxglove Rise",,51.442217806,-3.195783189,,,0,,,0
5710AWA11783,,Freemans,,51.461473445,-3.195408433,,,0,,,0
5710AWA11782,,Freemans,,51.461807582,-3.195267747,,,0,,,0
5710AWA11763,,"Freshmoor Road",,51.477306447,-3.151572192,,,0,,,0
5710AWA11298,,"Gabalfa Shops",,51.501617662,-3.215116348,,,0,,,0
5720WDB24017,,"Garn Farm",,51.434036489,-3.261688168,,,0,,,0
5720AWA10749,,"Garn Farm",,51.434193497,-3.262138468,,,0,,,0
5710AWA11185,,"Gelynis Terrace",,51.527695776,-3.259288242,,,0,,,0
5710AWA11184,,"Gelynis Terrace",,51.528099982,-3.259328229,,,0,,,0
5720AWA10424,,"Gibbonsdown Comm Centre",,51.418783344,-3.265266058,,,0,,,0
5720AWA10423,,"Gibbonsdown Comm Centre",,51.418972898,-3.265199386,,,0,,,0
5710AWA11236,,"Gillian Road",,51.497604195,-3.229214036,,,0,,,0
5710AWA11237,,"Gillian Road",,51.497630939,-3.230093531,,,0,,,0
5720AWL26190,,"Gladstone Bridge",,51.40248571,-3.275583973,,,0,,,0
5710AWA10518,,"Gladstone School",,51.49744264,-3.182850977,,,0,,,0
5720AWA12009,,"Glamorganshire Golf Club",,51.42200724,-3.17678863,,,0,,,0
5720AWA12008,,"Glamorganshire Golf Club",,51.422044932,-3.176617011,,,0,,,0
5710AWA10146,,"Glan y Mor Road",,51.516389682,-3.109120188,,,0,,,0
5710AWA10145,,"Glan y Mor Road",,51.516395128,-3.109495031,,,0,,,0
5710WDB46607,,"Glanhowny Close",,51.469978924,-3.167843827,,,0,,,0
5710AWA11760,,"Glass Avenue",,51.473962887,-3.147758738,,,0,,,0
5710AWA10904,,"Glenmount Way",,51.538866855,-3.200679892,,,0,,,0
5710AWA10650,,"Glenside Court",,51.502544003,-3.165005096,,,0,,,0
5710AWA10649,,"Glenside Court",,51.502298034,-3.16490964,,,0,,,0
5710AWA10283,,Glenwood,,51.516657266,-3.157724095,,,0,,,0
5710AWA10282,,Glenwood,,51.516414973,-3.157674715,,,0,,,0
5710AWA10366,,"Glyn Collen",,51.523066338,-3.140503279,,,0,,,0
5710AWA10365,,"Glyn Collen",,51.523806511,-3.13835963,,,0,,,0
5710AWA10336,,"Glyn Eiddw",,51.530295856,-3.148785972,,,0,,,0
5710AWA10337,,"Glyn Eiddw",,51.530220877,-3.148178597,,,0,,,0
5710AWA10329,,"Glyncoed School",,51.524205385,-3.154585824,,,0,,,0
5720AWA12007,,"Glyndwr Rd",,51.435942206,-3.191288879,,,0,,,0
5720AWA12001,,"Glyndwr Rd",,51.435462918,-3.191060322,,,0,,,0
5710AWA11287,,"Glynstell Close",,51.465022004,-3.196609661,,,0,,,0
5710AWA11288,,"Glynstell Close",,51.464581168,-3.195433659,,,0,,,0
5710WDB48509,,"Goitre Fach Farm",,51.510073459,-3.267462655,,,0,,,0
5710WDB48510,,"Goitre Fach Farm",,51.510266035,-3.268779327,,,0,,,0
5710AWA11384,,"Gorse Place",,51.491472331,-3.246190087,,,0,,,0
5710AWA11346,,"Gorse Place (E)",,51.489682838,-3.246198898,,,0,,,0
5710AWA11465,,"Gorsedd Gardens",,51.484573856,-3.175835371,,,0,,,0
5710AWA10929,,"Government Buildings",,51.527831219,-3.198299229,,,0,,,0
5710AWA10930,,"Government Buildings",,51.52731853,-3.199193941,,,0,,,0
5710AWA10465,,"Grafton Close",,51.505579386,-3.154979378,,,0,,,0
5710AWA10466,,"Grafton Close",,51.505686127,-3.155097346,,,0,,,0
5710AWA11190,,"Graig Hir",,51.521955847,-3.2604127,,,0,,,0
5710AWA11186,,"Graig Wen",,51.525970464,-3.258353092,,,0,,,0
5710AWA11187,,"Graig Wen",,51.525755472,-3.25826889,,,0,,,0
5710AWA11570,,"Grand Avenue",,51.480230702,-3.238712044,,,0,,,0
5710AWA11634,,"Grange Gardens",,51.467823449,-3.181717582,,,0,,,0
5710AWA11635,,"Grange Gardens",,51.467621185,-3.181489208,,,0,,,0
5710AWA11530,,"Green Farm Close",,51.472543767,-3.263038433,,,0,,,0
5710AWA11529,,"Green Farm Close",,51.47265613,-3.263459088,,,0,,,0
5710AWA11565,,"Green Farm Road",,51.47111057,-3.260018492,,,0,,,0
5710AWA10270,,Greenlawns,,51.503208162,-3.160178269,,,0,,,0
5710AWA10269,,Greenlawns,,51.503165779,-3.159917852,,,0,,,0
5720AWA10378,,"Greenway Close",,51.453004089,-3.201476908,,,0,,,0
5720AWA10377,,"Greenway Close",,51.453357448,-3.202075834,,,0,,,0
5710AWA10036,,"Greyfriars Road GL",,51.483345621,-3.175918985,,,0,,,0
5710AWA11081,,"Greyfriars Road Stop GN",,51.483275166,-3.176219605,,,0,,,0
5710AWA11019,,"Gron Ffordd",,51.53251555,-3.214079265,,,0,,,0
5710AWA11018,,"Gron Ffordd",,51.532450685,-3.214264961,,,0,,,0
5710AWA10797,,"Grosvenor Square",,51.481568755,-3.146198411,,,0,,,0
5710AWA10798,,"Grosvenor Square",,51.481610044,-3.147345911,,,0,,,0
5720AWA11989,,"Grove Terrace",,51.437897558,-3.17932637,,,0,,,0
5720AWA11988,,"Grove Terrace",,51.43721666,-3.179078637,,,0,,,0
5710AWA10767,,"Gwendoline Street",,51.480770765,-3.155893287,,,0,,,0
5720AWA11797,,"Gwenog Court",,51.408007788,-3.287829585,,,0,,,0
5710AWA10507,,"Gwern Rhuddi Road",,51.530726583,-3.160748103,,,0,,,0
5710WDB25313,,"Hackerford Rd",,51.529451208,-3.166943421,,,0,,,0
5710AWA10369,,"Hadfield Road",,51.472916381,-3.208061351,,,0,,,0
5710AWA10370,,"Hadfield Road",,51.472374489,-3.208291803,,,0,,,0
5710AWA11523,,"Haig Place",,51.471043168,-3.261269244,,,0,,,0
5310AWB31070,,"Halfway Garage",,51.550024406,-3.069454675,,,0,,,0
5310AWB31069,,"Halfway Garage",,51.54982277,-3.070228182,,,0,,,0
5710AWA11777,,"Halfway Hotel",,51.489061941,-3.202323481,,,0,,,0
5710WDB25314,,"Hampton Cres West",,51.531456697,-3.164197863,,,0,,,0
5710WDB25316,,"Hampton Crescent",,51.531388383,-3.160202687,,,0,,,0
5720AWA10025,,"Hannah Street",,51.411049352,-3.261170181,,,0,,,0
5720AWA10026,,"Hannah Street",,51.410701719,-3.261721388,,,0,,,0
5720AWA11712,,"Hanover Street",,51.407708123,-3.271631618,,,0,,,0
5310AWB30501,,"Harlech Retail Park",,51.573791302,-3.010791186,,,0,,,0
5710AWA10137,,"Harris Avenue",,51.509074015,-3.119746681,,,0,,,0
5720AWA11998,,"Hastings Avenue",,51.437876424,-3.189425701,,,0,,,0
5720AWA11996,,"Hastings Place",,51.438493994,-3.188823084,,,0,,,0
5720AWA11997,,"Hastings Place",,51.438403806,-3.188849517,,,0,,,0
5710AWA11514,,"Haverford Way",,51.475490401,-3.238857187,,,0,,,0
5710AWA11513,,"Haverford Way",,51.475239611,-3.238763996,,,0,,,0
5710WDB25428,,"Hayes Bridge Road",,51.477412999,-3.174369602,,,0,,,0
5710AWA11196,,"Hazel Tree Close",,51.520888756,-3.267647653,,,0,,,0
